second,idle_count,walking_count,total_count,car_speed_mph,light,red_violation,bus_waiting,humans,buses,cars,bikes
0,1,0,1,0.0,unknown,False,False,1,1,1,2
1,1,0,1,0.4628570138830581,unknown,False,False,1,2,0,1
2,1,0,1,0.0,unknown,False,False,1,2,0,1
3,1,0,1,0.0,unknown,False,False,1,3,0,0
4,1,0,1,0.0,unknown,False,False,2,1,0,0
5,1,0,1,0.0,unknown,False,False,2,2,0,0
6,4,0,4,0.0,unknown,False,False,3,1,0,0
7,2,1,3,0.0,unknown,False,False,1,3,0,0
8,1,1,2,0.0,unknown,False,False,1,1,0,0
9,2,0,2,0.0,unknown,False,False,2,1,0,0
10,1,1,2,0.0,unknown,False,False,2,1,0,0
11,2,0,2,0.0,unknown,False,False,2,1,0,0
12,2,0,2,0.0,unknown,False,False,2,1,0,0
13,3,0,3,0.0,unknown,False,True,3,1,0,0
14,4,0,4,0.0,yellow,False,True,6,2,0,0
15,8,0,8,0.0,unknown,False,False,4,1,0,0
16,7,0,7,0.0,unknown,False,False,2,1,0,0
17,6,1,7,0.0,unknown,False,False,3,2,0,0
18,2,2,4,0.0,green,False,False,1,1,0,0
19,0,2,2,0.0,unknown,False,False,0,1,0,0
20,1,0,1,0.0,unknown,False,False,1,1,0,0
21,1,0,1,0.0,unknown,False,True,0,1,5,0
22,0,0,0,2.8284043810911506,green,False,False,1,2,1,0
23,3,0,3,1.2252469673195523,unknown,False,False,3,2,0,0
24,3,0,3,0.0,unknown,False,False,1,1,0,0
25,1,0,1,0.0,green,False,False,1,1,0,0
26,2,0,2,0.0,unknown,False,True,2,1,0,0
27,2,0,2,0.0,unknown,False,False,1,1,0,0
28,3,0,3,0.0,unknown,False,False,1,1,0,0
29,1,0,1,0.0,unknown,False,False,0,1,0,0
30,1,0,1,0.0,unknown,False,False,2,1,0,0
31,1,0,1,0.6124636866331317,unknown,False,False,0,1,1,0
32,0,0,0,1.4733483611385123,unknown,False,False,0,0,1,0
