second,idle_count,walking_count,total_count,car_speed_mph,light,red_violation,bus_waiting,humans,buses,cars,bikes
0,0,0,0,1.4673607123841854,unknown,False,False,0,0,15,0
1,0,0,0,1.6325786279518206,unknown,False,False,0,0,12,0
2,0,0,0,1.2486856396138806,unknown,False,False,0,0,8,0
3,0,0,0,0.8632146043513302,unknown,False,False,0,0,8,0
4,0,0,0,0.8818004135869284,unknown,False,False,0,0,6,0
5,0,0,0,0.6358959309016404,unknown,False,False,0,0,7,0
6,0,0,0,0.5237707599237654,unknown,False,False,1,0,8,0
7,0,0,0,0.3823913212884792,unknown,False,False,0,0,10,0
8,0,0,0,0.357832887194988,unknown,False,False,0,0,9,0
9,0,0,0,0.39730288692815724,unknown,False,False,0,0,4,0
10,0,0,0,0.48775864339021374,unknown,False,False,0,0,5,0
11,0,0,0,0.9748398951925654,unknown,False,False,0,0,4,0
12,0,0,0,1.0200388539458456,unknown,False,False,0,0,7,0
13,0,0,0,0.6359617434570827,unknown,False,False,0,0,8,0
14,0,0,0,0.47023715946759226,unknown,False,False,0,0,9,0
15,0,0,0,0.8393263894263099,unknown,False,False,0,0,11,0
16,0,0,0,0.9791057294508724,unknown,False,False,2,0,11,0
17,0,1,1,1.269167634954393,unknown,False,False,5,0,10,0
18,1,0,1,1.6678321252800523,unknown,False,False,0,0,11,0
19,1,0,1,1.4071208996091058,unknown,False,False,0,0,8,0
20,0,0,0,1.150175232950694,unknown,False,False,0,0,12,0
21,0,0,0,1.065727225323664,unknown,False,False,0,0,11,0
22,0,0,0,0.6918762709340734,unknown,False,False,0,0,9,0
23,0,0,0,0.7287259479043244,unknown,False,False,0,0,10,0
24,0,0,0,0.5480849105741991,unknown,False,False,0,0,9,0
25,0,0,0,1.036567095430966,red,False,False,0,0,10,0
26,0,0,0,1.221775295944147,unknown,False,True,0,0,9,0
27,0,0,0,0.9719510821536307,unknown,False,False,0,0,12,0
28,0,0,0,0.6536214662303625,unknown,False,False,0,0,9,0
29,0,0,0,0.6541411985695056,unknown,False,False,0,0,7,0
30,0,0,0,0.6456757899628714,unknown,False,False,1,1,7,0
31,1,0,1,0.901397662214253,unknown,False,False,1,0,8,0
32,1,0,1,0.9804609207706806,unknown,False,False,0,0,5,0
33,1,0,1,0.9043976918414905,unknown,False,False,1,0,5,0
34,1,0,1,0.8079864231640462,unknown,False,False,0,0,5,0
35,1,0,1,0.49628645414591616,unknown,False,False,0,0,4,0
36,0,0,0,0.33641423549962873,unknown,False,False,0,0,5,0
37,0,0,0,0.791572124851792,unknown,False,False,0,0,5,0
38,0,0,0,1.4678639775972084,unknown,False,False,0,0,8,0
39,0,0,0,1.1463856317599985,unknown,False,False,0,0,6,0
40,0,0,0,0.8119332146570027,yellow,False,False,0,0,6,0
41,0,0,0,0.7593090592015013,unknown,False,False,0,0,9,0
42,0,0,0,0.7064292423164831,yellow,False,False,0,0,10,0
43,0,0,0,0.3915440672709426,red,False,False,0,0,10,0
44,0,0,0,0.5485760552774883,red,False,False,0,0,8,0
45,0,0,0,0.3751522611992282,unknown,False,False,0,0,10,0
46,0,0,0,0.5920066944453295,red,False,False,1,0,7,0
47,0,0,0,0.8082813635187416,red,False,False,1,0,6,0
48,1,0,1,0.5597146565141851,unknown,False,False,1,0,8,0
49,1,0,1,0.7532360177893044,unknown,False,False,0,0,9,0
50,0,0,0,1.0429290002802514,unknown,False,False,0,0,9,0
51,0,0,0,0.9716024937256481,unknown,False,False,0,0,6,0
52,0,0,0,0.8140972859872218,unknown,False,False,0,0,4,0
53,0,0,0,0.5645279568980097,unknown,False,False,0,0,4,0
54,0,0,0,0.536535451387314,unknown,False,True,0,0,5,0
55,0,0,0,0.5536665192099528,unknown,False,False,0,0,3,0
56,0,0,0,0.28233023171155774,unknown,False,False,0,0,1,0
57,0,0,0,0.479797604990331,unknown,False,False,0,1,1,0
58,0,0,0,0.5959627147328839,unknown,False,False,0,0,1,0
59,0,0,0,1.0833385216290383,unknown,False,False,0,0,1,0
60,0,0,0,1.4827376987080576,unknown,False,False,0,0,2,0
61,0,0,0,1.9783688488373876,unknown,False,False,0,0,2,0
62,0,0,0,1.5919649493255952,unknown,False,False,0,0,2,0
63,0,0,0,1.1542277321082501,unknown,False,False,0,0,0,0
64,0,0,0,0.7786259731952286,red,False,False,0,0,1,0
65,0,0,0,1.2547994058523835,red,False,False,0,0,2,0
66,0,0,0,0.6688335335657891,green,False,True,0,1,1,0
67,0,0,0,0.579718006216135,unknown,False,True,0,1,1,0
68,0,0,0,0.453384971127209,unknown,False,False,0,1,2,0
69,0,0,0,0.7177832412905842,unknown,False,False,0,0,1,0
70,0,0,0,0.5707084036940261,unknown,False,False,0,0,0,0
71,0,0,0,0.0,unknown,False,False,0,0,0,0
72,0,0,0,0.0,unknown,False,False,0,0,0,0
73,0,0,0,0.0,unknown,False,False,0,0,0,0
74,0,0,0,0.0,unknown,False,False,0,0,1,0
75,0,0,0,0.0,unknown,False,False,0,0,0,0
76,0,0,0,0.0,unknown,False,False,0,0,0,0
77,0,0,0,0.0,unknown,False,False,0,0,2,0
78,0,0,0,0.9542628642386111,red,False,False,0,0,4,0
79,1,0,1,1.0913378798646451,yellow,False,False,2,0,5,0
80,1,1,2,1.1739679190415415,red,False,False,1,0,2,0
81,2,0,2,1.0778958273177226,unknown,False,False,0,0,2,0
82,2,0,2,0.7629323132831162,unknown,False,False,0,0,1,0
83,1,0,1,0.38223416163529556,unknown,False,False,0,0,0,0
84,0,0,0,0.0,unknown,False,False,0,0,0,0
85,0,0,0,0.0,unknown,False,False,0,0,0,0
86,0,0,0,0.0,unknown,False,False,0,0,0,0
87,0,0,0,0.0,unknown,False,False,0,0,0,0
88,0,0,0,0.0,unknown,False,False,1,0,0,0
89,0,1,1,0.0,unknown,False,False,1,1,3,0
90,1,1,2,0.731901326803838,red,False,False,0,0,3,0
91,1,0,1,0.9138111512359762,yellow,False,False,0,0,6,0
92,0,0,0,0.9750324281887752,red,False,False,0,0,4,0
93,0,0,0,0.9732729861822138,unknown,False,False,1,0,2,0
94,1,0,1,0.913871254103841,unknown,False,False,0,0,0,0
95,1,0,1,0.6894064600409244,unknown,False,False,0,0,0,0
96,0,0,0,0.0,unknown,False,False,0,0,0,0
97,0,0,0,0.0,unknown,False,False,0,0,0,0
98,0,0,0,0.0,unknown,False,False,0,0,0,0
99,0,0,0,0.0,unknown,False,False,0,0,0,0
100,0,0,0,0.39332231965299624,unknown,False,False,0,0,0,0
101,0,0,0,0.4660353679938551,unknown,False,False,0,0,0,0
102,0,0,0,0.0,unknown,False,False,2,0,1,0
103,2,0,2,0.559996570374857,unknown,False,False,3,0,2,0
104,2,0,2,0.30069710534369865,unknown,False,False,1,0,6,0
105,3,0,3,0.36481049941503285,red,False,False,1,0,4,0
106,1,0,1,0.41479134789109684,green,False,False,0,0,8,0
107,0,0,0,0.6434438142717427,red,False,False,0,0,5,0
108,1,0,1,0.2914817913302516,green,False,False,0,0,10,0
109,1,0,1,0.18821706029608376,green,False,False,0,0,10,0
110,1,0,1,0.2815534407037226,red,False,False,0,0,10,0
111,0,0,0,0.594603777147042,unknown,False,False,0,0,7,0
112,0,0,0,0.83123818674818,red,False,False,0,0,6,0
113,0,0,0,0.712697340710033,red,False,False,1,0,7,0
114,1,0,1,0.5364752554068983,red,False,False,1,0,7,0
115,2,0,2,1.032114570810317,red,False,False,2,0,7,0
116,2,0,2,0.8522885301180727,red,False,False,2,0,6,0
117,2,0,2,0.5697550180228862,red,False,True,2,1,7,0
118,2,0,2,0.5008452078010022,yellow,False,True,2,1,8,0
119,2,0,2,0.5194846167200666,red,False,True,2,1,6,0
120,3,0,3,0.5363063595456038,unknown,False,True,1,1,4,0
121,1,0,1,0.8713875317829217,unknown,False,True,0,1,0,0
122,0,0,0,1.46321540166006,unknown,False,False,0,1,0,0
123,0,0,0,0.24041736992675314,unknown,False,True,0,1,1,0
124,0,0,0,0.1670653694652212,unknown,False,True,0,0,0,0
125,0,0,0,0.21616856301848017,unknown,False,False,0,0,0,0
126,0,0,0,0.21040539428259739,unknown,False,False,0,0,0,0
127,0,0,0,0.10524448225161849,unknown,False,False,1,0,1,0
128,0,0,0,0.1418449218539851,unknown,False,False,1,0,2,0
129,1,0,1,0.6687739328917717,unknown,False,False,3,0,2,0
130,2,2,4,0.5758522686486661,unknown,False,True,5,1,2,0
131,2,2,4,0.6968767454609779,unknown,False,False,4,0,3,0
132,6,0,6,0.6230651592028015,unknown,False,False,3,0,5,0
133,6,0,6,0.4294448694210278,unknown,False,False,3,0,5,0
